站点,服务,基准价,统一markup,标价
C,助餐,10.0,0.15,11.5
C,日间照料,20.0,0.15,23.0
C,上门护理,30.0,0.15,34.5
C,康复理疗,28.0,0.15,32.2
C,助浴,25.0,0.15,28.75
C,紧急救助,0.0,0.15,0.0
G,助餐,10.0,-0.1,9.0
G,日间照料,20.0,-0.1,18.0
G,上门护理,30.0,-0.1,27.0
G,康复理疗,28.0,-0.1,25.2
G,助浴,25.0,-0.1,22.5
G,紧急救助,0.0,-0.1,0.0
H,助餐,10.0,0.05,10.5
H,日间照料,20.0,0.05,21.0
H,上门护理,30.0,0.05,31.5
H,康复理疗,28.0,0.05,29.4
H,助浴,25.0,0.05,26.25
H,紧急救助,0.0,0.05,0.0
J,助餐,10.0,-0.1,9.0
J,日间照料,20.0,-0.1,18.0
J,上门护理,30.0,-0.1,27.0
J,康复理疗,28.0,-0.1,25.2
J,助浴,25.0,-0.1,22.5
J,紧急救助,0.0,-0.1,0.0
